,features,coefs,mae
2315,"('yr', 'mnth', 'workingday', 'atemp', 'windspeed', 'leaflets', 'price reduction', 'weekday_1', 'weekday_3', 'weekday_6', 'season_1', 'season_3', 'season_4', 'weathersit_1', 'weathersit_2')","[1007.55883774  -20.77144215  178.18037364  902.45687176 -178.05054081
    5.621026     58.31228189  -84.60941459   -2.33380271  120.16696024
 -464.98362952  -85.4177949   167.78294345 1174.67561075  834.10046942]",627.9450165175235
2316,"('yr', 'workingday', 'atemp', 'windspeed', 'leaflets', 'price reduction', 'weekday_1', 'weekday_4', 'weekday_5', 'weekday_6', 'season_1', 'season_2', 'season_3', 'season_4', 'weathersit_1', 'weathersit_2')","[1007.42689964  164.27743039  904.79762578 -177.39618263    4.43975943
   59.87423832  -73.80135174   10.06400593   39.34716163  122.36351858
 -354.22059123  104.59346117    7.76878449  255.1223817  1167.69548174
  825.82812902]",627.9452797826319
2317,"('yr', 'holiday', 'atemp', 'leaflets', 'price reduction', 'weekday_0', 'weekday_1', 'weekday_4', 'season_1', 'season_4', 'weathersit_1', 'weathersit_2', 'weathersit_3')","[1011.50186988 -119.08198921  909.51119612    9.26847334   51.48044472
 -105.67110391  -65.34138694    8.38671747 -432.81603379  223.14118887
  217.6491625  -100.30267816 -355.6460086 ]",627.9460293089084
2318,"('yr', 'mnth', 'holiday', 'workingday', 'atemp', 'leaflets', 'weekday_1', 'weekday_4', 'weekday_5', 'weekday_6', 'season_1', 'season_3', 'season_4', 'weathersit_2', 'weathersit_3')","[1010.07459338    9.257591    -75.43706453  122.09684509  951.2021316
   12.48285726  -53.89327601   19.91376852   44.27460638   94.12654085
 -435.96581496  -79.56101913  199.67268775 -315.90594974 -420.1021094 ]",627.9467381705866
2319,"('yr', 'mnth', 'holiday', 'workingday', 'atemp', 'leaflets', 'weekday_0', 'weekday_1', 'weekday_4', 'weekday_5', 'season_1', 'season_3', 'season_4', 'weathersit_1', 'weathersit_3')","[1010.05517395    9.28952154 -121.34336358   -2.36602385  951.12583292
   12.48844456  -93.77877067  -54.06117689   19.75376395   44.11764511
 -436.00866666  -79.55242085  199.65364785  321.14067134 -312.96312792]",627.9467850042424
2320,"('yr', 'workingday', 'atemp', 'windspeed', 'leaflets', 'price reduction', 'weekday_1', 'weekday_4', 'weekday_5', 'weekday_6', 'season_1', 'season_2', 'season_4', 'weathersit_1', 'weathersit_2')","[1007.42370065  164.27409323  904.86909477 -177.39516626    4.43843945
   59.87234249  -73.80074734   10.06358515   39.35035342  122.36450089
 -362.21002577   96.70992204  247.45812076 1167.68552947  825.81685889]",627.9482372034644
2321,"('yr', 'holiday', 'workingday', 'atemp', 'leaflets', 'weekday_0', 'weekday_1', 'weekday_4', 'weekday_5', 'weekday_6', 'season_2', 'season_3', 'season_4', 'weathersit_1', 'weathersit_2', 'weathersit_3')","[1009.78276868 -102.01813146   49.24156293  954.35944804   12.05444233
  -54.92757492  -53.95848339   19.92483198   44.44792123   39.33173215
  426.39610922  339.02342125  622.47311192  216.89587025 -102.4044636
 -347.20562878]",627.9485092903843
2322,"('yr', 'workingday', 'atemp', 'leaflets', 'weekday_0', 'weekday_1', 'weekday_3', 'weekday_6', 'season_1', 'season_4', 'weathersit_2', 'weathersit_3')","[1011.25636707  321.85497655  908.76831295   14.47366304  135.08179296
  -66.75613964   13.60584437  229.45221941 -432.79163663  223.29685093
 -312.62354322 -428.15573524]",627.9488226780537
2323,"('yr', 'holiday', 'atemp', 'leaflets', 'weekday_0', 'weekday_1', 'weekday_3', 'weekday_4', 'weekday_5', 'season_1', 'season_4', 'weathersit_1', 'weathersit_3')","[1010.70244725 -122.26995345  911.63891302   11.985769    -80.53624973
  -40.03481555   39.18214409   34.14823816   55.43354912 -430.3331809
  224.74973383  317.79615832 -318.26994895]",627.9489782660261
2324,"('yr', 'workingday', 'atemp', 'leaflets', 'weekday_0', 'weekday_1', 'weekday_4', 'weekday_6', 'season_1', 'season_2', 'season_3', 'weathersit_1', 'weathersit_2')","[1010.69601395  316.92896693  947.82803508   14.90475899  131.27351462
  -69.57936246    5.20111479  225.96430287 -651.40189439 -207.07498537
 -278.18948291 1236.16938743  900.99450959]",627.9490083774084
2325,"('yr', 'workingday', 'atemp', 'weekday_1', 'weekday_4', 'weekday_5', 'weekday_6', 'season_1', 'season_2', 'season_3', 'season_4', 'weathersit_1', 'weathersit_2', 'weathersit_3')","[1006.80473394  166.29833621  951.39221882  -82.28330772    7.28648149
   33.69611613  117.98056792 -356.13539125   82.92642035    3.24019195
  283.88995238  217.5312933  -102.53521583 -348.72108114]",627.9497266257122
2326,"('yr', 'workingday', 'atemp', 'weekday_1', 'weekday_4', 'weekday_5', 'weekday_6', 'season_1', 'season_2', 'season_4', 'weathersit_1', 'weathersit_2', 'weathersit_3')","[1006.80345724  166.29691462  951.42185968  -82.28303273    7.28629968
   33.69746161  117.98097824 -359.46771857   79.63838102  280.69325391
  217.53136165 -102.53579936 -348.7195677 ]",627.9505211041104
2327,"('yr', 'workingday', 'atemp', 'weekday_1', 'weekday_2', 'weekday_3', 'weekday_6', 'season_1', 'season_4', 'weathersit_1', 'weathersit_2')","[1008.20485094  201.59550315  914.30939195 -107.76648465  -67.56190138
  -15.74627296  112.04988897 -429.74936366  222.03978353 1234.77584659
  902.33499683]",627.9507587731283
2328,"('yr', 'mnth', 'workingday', 'atemp', 'windspeed', 'leaflets', 'price reduction', 'weekday_1', 'weekday_4', 'weekday_5', 'weekday_6', 'season_1', 'season_3', 'season_4', 'weathersit_2', 'weathersit_3')","[1006.64677619  -21.63441893  165.01724565  905.21266816 -177.22065997
    3.44642894   59.86827427  -74.10374369    9.53796755   38.71184731
  122.65338086 -463.71192878  -85.62675271  170.45460817 -321.82773099
 -399.28368576]",627.9509182654261
2329,"('yr', 'mnth', 'workingday', 'atemp', 'price reduction', 'weekday_0', 'weekday_1', 'weekday_4', 'weekday_5', 'weekday_6', 'season_1', 'season_2', 'season_3', 'weathersit_1', 'weathersit_2')","[1009.98353327   11.8797649   312.31558314  951.04701965   51.4347175
  142.51131335  -54.60739045   20.1076315    47.42599063  240.25866413
 -639.24253934 -199.74488454 -274.54200469 1230.44597875  892.99390145]",627.9509780696538
2330,"('yr', 'mnth', 'holiday', 'workingday', 'atemp', 'leaflets', 'weekday_0', 'weekday_1', 'weekday_4', 'weekday_5', 'weekday_6', 'season_1', 'season_3', 'season_4', 'weathersit_1', 'weathersit_3')","[1010.05194081    9.29076693 -102.26057303   49.38564165  951.14768755
   12.47753227  -54.93258753  -53.9949556    19.81221351   44.17467494
   39.26442911 -435.99750476  -79.56148444  199.65497892  321.14245756
 -312.96105019]",627.9522599118832
2331,"('yr', 'holiday', 'atemp', 'weekday_0', 'weekday_1', 'weekday_3', 'weekday_4', 'weekday_5', 'season_1', 'season_4', 'weathersit_1', 'weathersit_2')","[1010.23978677 -122.59369515  913.42594561  -79.90736167  -39.4856768
   38.86092689   35.03047987   56.90696593 -428.02431858  224.13727227
 1239.73368848  906.94842287]",627.9527979486163
2332,"('yr', 'workingday', 'atemp', 'weekday_2', 'weekday_4', 'weekday_5', 'weekday_6', 'season_1', 'season_2', 'season_3', 'season_4', 'weathersit_1', 'weathersit_2')","[1007.73789485  155.75756151  955.83257225  -20.29184855   26.00246975
   52.3538665   128.13236829 -353.15299814   81.48504731    1.60482354
  283.89095886 1218.62891025  881.68623935]",627.953969146111
2333,"('yr', 'workingday', 'atemp', 'weekday_2', 'weekday_4', 'weekday_5', 'weekday_6', 'season_1', 'season_2', 'season_4', 'weathersit_1', 'weathersit_2')","[1007.73725991  155.75691155  955.84724945  -20.29190075   26.00231935
   52.35447332  128.13255318 -354.80346147   79.85652369  282.30767443
 1218.62678356  881.68382786]",627.9550458160069
2334,"('yr', 'mnth', 'holiday', 'workingday', 'atemp', 'leaflets', 'weekday_0', 'weekday_1', 'weekday_4', 'weekday_5', 'season_1', 'season_3', 'season_4', 'weathersit_1', 'weathersit_2', 'weathersit_3')","[1010.05581739    9.30906198 -121.34563686   -2.36464607  951.11987065
   12.49192709  -93.78610154  -54.05525619   19.75802424   44.12666511
 -436.00568226  -79.57398327  199.63215071  217.18101778 -102.53005509
 -347.68869571]",627.9551442059658
2335,"('yr', 'holiday', 'workingday', 'atemp', 'leaflets', 'price reduction', 'weekday_0', 'weekday_1', 'weekday_5', 'season_1', 'season_3', 'season_4', 'weathersit_1', 'weathersit_2')","[1010.66051807 -115.93681883    3.02865584  952.05907923    8.53785089
   50.62748129  -96.10958512  -60.8060834    40.55705342 -437.62244535
  -75.39598535  205.72814166 1232.82324599  895.75934611]",627.9561348596918
2336,"('yr', 'workingday', 'atemp', 'weekday_2', 'weekday_3', 'weekday_4', 'weekday_5', 'weekday_6', 'season_1', 'season_4', 'weathersit_1', 'weathersit_2')","[1007.6202675   116.27192685  914.98207292   12.63155271   65.6841583
   60.2835038    83.05444346  129.57036817 -430.30048778  222.14005536
 1235.75290301  901.97624116]",627.9576834973856
2337,"('yr', 'holiday', 'atemp', 'leaflets', 'weekday_0', 'weekday_1', 'weekday_4', 'weekday_5', 'weekday_6', 'season_2', 'season_3', 'season_4', 'weathersit_1', 'weathersit_3')","[1009.78276505 -120.16607083  954.38139372   12.04917267  -91.77152977
  -53.92086159   19.9747312    44.49269291    2.29757808  426.38834361
  339.02257299  622.47236832  320.72238607 -312.51410251]",627.9588734993073
2338,"('yr', 'holiday', 'workingday', 'atemp', 'leaflets', 'price reduction', 'weekday_0', 'weekday_1', 'weekday_5', 'weekday_6', 'season_1', 'season_3', 'season_4', 'weathersit_1', 'weathersit_2')","[1010.65757772  -97.76380339   52.30912266  952.07963525    8.52811591
   50.63553064  -59.13727222  -60.76223729   40.59296919   37.37105346
 -437.61340892  -75.4045999   205.73012128 1232.83111146  895.76502367]",627.9594409982038
2339,"('yr', 'mnth', 'holiday', 'atemp', 'leaflets', 'price reduction', 'weekday_0', 'weekday_4', 'weekday_5', 'season_1', 'season_2', 'season_3', 'weathersit_1', 'weathersit_2')","[1011.86851375   13.36877403 -132.51545917  949.31280033    7.8550107
   49.45939765  -80.45747747   32.18144626   58.40830626 -638.97305072
 -200.82235858 -274.32400694 1225.09725744  886.73499696]",627.9594741627566
2340,"('yr', 'mnth', 'holiday', 'workingday', 'atemp', 'weekday_0', 'weekday_4', 'weekday_5', 'season_1', 'season_2', 'season_3', 'weathersit_1', 'weathersit_2')","[1010.44197779   11.32858066 -142.29938472  -25.36933597  953.77034488
  -93.57684545   38.28663588   62.46211507 -637.60635511 -202.06708354
 -278.16239999 1220.95841966  884.58492002]",627.9595119775606
2341,"('yr', 'mnth', 'holiday', 'workingday', 'atemp', 'leaflets', 'weekday_0', 'weekday_1', 'weekday_4', 'weekday_5', 'weekday_6', 'season_1', 'season_3', 'season_4', 'weathersit_1', 'weathersit_2', 'weathersit_3')","[1010.05258413    9.31030764 -102.26204057   49.38920464  951.14172614
   12.48101437  -54.93827823  -53.98903203   19.81647632   44.18369745
   39.26608703 -435.99451985  -79.58304749  199.63348159  217.1816127
 -102.53123008 -347.68701585]",627.9606194405786
2342,"('yr', 'mnth', 'holiday', 'workingday', 'atemp', 'leaflets', 'price reduction', 'weekday_0', 'weekday_1', 'weekday_3', 'season_1', 'season_4', 'weathersit_2', 'weathersit_3')","[1010.97234384  -23.82376691 -112.61719575   15.32811526  914.52360767
    9.21110157   50.38408742  -95.98756727  -67.42189064   11.35999943
 -437.7311198   238.35261323 -313.28700693 -428.14017972]",627.960723951286
2343,"('yr', 'mnth', 'holiday', 'atemp', 'leaflets', 'weekday_0', 'weekday_1', 'weekday_5', 'weekday_6', 'season_1', 'season_2', 'season_3', 'season_4', 'weathersit_1', 'weathersit_2')","[ 1.01070028e+03  9.21491955e+00 -1.19722591e+02  9.52241170e+02
  1.34379750e+01 -9.79701865e+01 -6.05419811e+01  3.84182577e+01
 -4.42015198e+00 -3.50905876e+02  8.37608004e+01  7.69051828e-01
  2.80045725e+02  1.23018050e+03  8.94128376e+02]",627.9610346492896
2344,"('yr', 'holiday', 'workingday', 'atemp', 'weekday_0', 'weekday_1', 'season_1', 'season_4', 'weathersit_2', 'weathersit_3')","[1010.32290047 -114.53531982   21.52822892  909.72157421  -93.58000806
  -69.09616956 -430.76025151  223.61843905 -312.99552485 -427.95379323]",627.9613439538671
2345,"('yr', 'mnth', 'holiday', 'atemp', 'leaflets', 'weekday_0', 'weekday_1', 'weekday_5', 'weekday_6', 'season_1', 'season_2', 'season_4', 'weathersit_1', 'weathersit_2')","[1010.69999088    9.21675776 -119.72260766  952.2481032    13.43786618
  -97.96987485  -60.54185576   38.41858398   -4.41977272 -351.69586461
   82.98104104  279.28627917 1230.17967586  894.12732943]",627.9616590045952
2346,"('yr', 'holiday', 'atemp', 'leaflets', 'weekday_0', 'weekday_1', 'weekday_3', 'weekday_4', 'weekday_5', 'season_1', 'season_4', 'weathersit_1', 'weathersit_2', 'weathersit_3')","[1010.70323316 -122.27228584  911.62683761   11.98864777  -80.54652684
  -40.03075978   39.1754618    34.15093533   55.44060443 -430.33120806
  224.7464748   216.29398542 -100.10520828 -352.17438032]",627.9622832659938
2347,"('yr', 'mnth', 'holiday', 'workingday', 'atemp', 'weekday_0', 'weekday_4', 'weekday_5', 'weekday_6', 'season_1', 'season_2', 'season_3', 'weathersit_1', 'weathersit_2')","[1010.43771943   11.33026931 -118.22670438   39.86137056  953.79457632
  -44.63865497   38.33294492   62.50739231   49.46485575 -637.59682639
 -202.0658124  -278.17346264 1220.96138387  884.58635933]",627.9633842248726
2348,"('yr', 'holiday', 'workingday', 'atemp', 'leaflets', 'price reduction', 'weekday_0', 'weekday_1', 'weekday_5', 'season_1', 'season_2', 'season_3', 'season_4', 'weathersit_1', 'weathersit_2')","[1010.6743992  -115.91860362    3.0292615   951.84653522    8.55445483
   50.6233214   -96.11341832  -60.82218586   40.54843342 -355.40304689
   81.22682735    3.65489934  284.45232511 1232.79456735  895.71945477]",627.9635540821898
2349,"('yr', 'mnth', 'workingday', 'atemp', 'weekday_1', 'weekday_4', 'weekday_5', 'weekday_6', 'season_1', 'season_2', 'season_3', 'season_4', 'weathersit_2', 'weathersit_3')","[1006.84325029    3.1145089   166.30228674  951.2479893   -82.30997168
    7.2566731    33.64569641  117.97798356 -354.9581151    83.64789631
    2.86916529  282.2913776  -316.41465093 -421.39721573]",627.9647268765101
2350,"('yr', 'mnth', 'workingday', 'atemp', 'weekday_1', 'weekday_4', 'weekday_5', 'weekday_6', 'season_1', 'season_2', 'season_4', 'weathersit_2', 'weathersit_3')","[1006.84217711    3.12135287  166.30114553  951.27381821  -82.30978532
    7.25642036   33.64675787  117.97839544 -357.90546311   80.73879301
  279.45804394 -316.41553593 -421.3961552 ]",627.9655925017556
2351,"('yr', 'holiday', 'workingday', 'atemp', 'weekday_0', 'weekday_1', 'weekday_6', 'season_1', 'season_4', 'weathersit_2', 'weathersit_3')","[1010.32125222  -99.75655867   61.60530899  909.73179857  -63.51963138
  -69.06753251   30.38392935 -430.75464741  223.62052542 -312.99650872
 -427.95794006]",627.9657562084625
2352,"('yr', 'holiday', 'workingday', 'atemp', 'leaflets', 'price reduction', 'weekday_0', 'weekday_1', 'weekday_5', 'season_1', 'season_2', 'season_4', 'weathersit_1', 'weathersit_2')","[1010.67290264 -115.91929283    3.02693667  951.88004459    8.55379521
   50.62242653  -96.11371997  -60.82164966   40.55005519 -359.16172714
   77.51798177  280.84652719 1232.78967231  895.71393626]",627.9659354306588
2353,"('yr', 'holiday', 'atemp', 'leaflets', 'weekday_0', 'weekday_1', 'weekday_4', 'weekday_5', 'weekday_6', 'season_2', 'season_3', 'season_4', 'weathersit_1', 'weathersit_2', 'weathersit_3')","[1009.78318647 -120.16820664  954.37656955   12.05214949  -91.77992675
  -53.91502847   19.97915001   44.50200029    2.2966011   426.38811958
  339.00757607  622.46497916  216.89096628 -102.40270865 -347.19612877]",627.966521663974
2354,"('yr', 'holiday', 'workingday', 'atemp', 'leaflets', 'price reduction', 'weekday_0', 'weekday_1', 'weekday_5', 'weekday_6', 'season_1', 'season_2', 'season_3', 'season_4', 'weathersit_1', 'weathersit_2')","[1010.67145885  -97.7463118    52.30776644  951.86709223    8.54472009
   50.63137047  -59.14257727  -60.77834135   40.58434783   37.3695657
 -355.39471135   81.22613527    3.64561159  284.45363391 1232.80243275
  895.72513245]",627.9668600258686
2355,"('yr', 'holiday', 'workingday', 'atemp', 'leaflets', 'weekday_0', 'weekday_1', 'weekday_5', 'season_2', 'season_3', 'season_4', 'weathersit_1', 'weathersit_2')","[1010.41940199 -117.22160377    6.05506967  955.62487224   13.0094216
  -93.41753785  -60.60099423   38.57909299  426.11366019  337.56752542
  621.35516353 1228.5767315   892.96051554]",627.9669487700253
2356,"('yr', 'mnth', 'holiday', 'workingday', 'atemp', 'leaflets', 'price reduction', 'weekday_0', 'weekday_1', 'weekday_3', 'weekday_6', 'season_1', 'season_4', 'weathersit_2', 'weathersit_3')","[1010.96940339  -23.82337263  -96.65518314   58.61343871  914.53544925
    9.20419898   50.38899321  -63.51286209  -67.38294168   11.392279
   32.82485691 -437.724983    238.35380643 -313.28725981 -428.14729644]",627.9673219147429
2357,"('yr', 'mnth', 'holiday', 'workingday', 'atemp', 'leaflets', 'price reduction', 'weekday_0', 'weekday_4', 'weekday_5', 'season_1', 'season_4', 'weathersit_1', 'weathersit_3')","[1011.7474853   -25.32846905 -139.79996312  -24.42184278  919.82169236
    5.52382592   51.77385647  -95.80882256   37.64937643   61.80716516
 -432.04068656  243.0907487   319.68805517 -314.27754222]",627.9677926880831
2358,"('yr', 'mnth', 'holiday', 'workingday', 'atemp', 'leaflets', 'weekday_1', 'weekday_4', 'weekday_5', 'weekday_6', 'season_1', 'season_2', 'season_3', 'season_4', 'weathersit_2', 'weathersit_3')","[1010.09319089    9.63035339  -75.42752436  122.10480285  950.96107569
   12.50936813  -53.91075274   19.90338849   44.25784849   94.12890465
 -351.47210986   83.42362181    1.49866597  280.25199309 -315.93478149
 -420.10609375]",627.968585616037
2359,"('yr', 'mnth', 'holiday', 'workingday', 'atemp', 'leaflets', 'weekday_0', 'weekday_1', 'weekday_4', 'weekday_5', 'season_1', 'season_2', 'season_3', 'season_4', 'weathersit_1', 'weathersit_3')","[1010.07377268    9.66234584 -121.33498346   -2.36121343  950.88473518
   12.51495861  -93.7811614   -54.07866156   19.74337702   44.10087898
 -351.50106945   83.43733996    1.52059496  280.24620423  321.16996501
 -312.95733681]",627.9686353379851
2360,"('yr', 'mnth', 'holiday', 'workingday', 'atemp', 'leaflets', 'price reduction', 'weekday_0', 'weekday_4', 'weekday_5', 'weekday_6', 'season_1', 'season_4', 'weathersit_1', 'weathersit_3')","[1011.74233524  -25.33285426 -115.75906714   40.72280299  919.84189889
    5.51097011   51.78449877  -46.93553401   37.69591792   61.85322443
   49.4002017  -432.03109719  243.0963576   319.68925982 -314.27911988]",627.9690093695333
2361,"('yr', 'workingday', 'atemp', 'windspeed', 'leaflets', 'price reduction', 'weekday_1', 'weekday_4', 'weekday_5', 'weekday_6', 'season_1', 'season_2', 'season_3', 'weathersit_1', 'weathersit_2')","[1007.43214878  164.26102773  903.98428081 -177.71606958    4.36798221
   59.89518588  -73.80349734   10.0882008    39.31497613  122.35666087
 -619.58526962 -155.40773241 -246.08937841 1167.28195709  825.42517105]",627.9692017477546
2362,"('yr', 'holiday', 'workingday', 'atemp', 'leaflets', 'price reduction', 'weekday_0', 'weekday_1', 'weekday_5', 'weekday_6', 'season_1', 'season_2', 'season_4', 'weathersit_1', 'weathersit_2')","[1010.66996602  -97.74654489   52.30667966  951.90051697    8.54406191
   50.63047808  -59.14195375  -60.77780542   40.58596638   37.37050007
 -359.14383967   77.52671475  280.85699923 1232.79755035  895.7196281 ]",627.9692354054177
2363,"('yr', 'mnth', 'holiday', 'workingday', 'atemp', 'leaflets', 'weekday_1', 'weekday_4', 'weekday_5', 'weekday_6', 'season_1', 'season_2', 'season_4', 'weathersit_2', 'weathersit_3')","[1010.0926206     9.63393534  -75.42784034  122.10402597  950.97458779
   12.50915876  -53.91053321   19.90331574   44.25846134   94.12903435
 -353.01157301   81.90409252  278.77204689 -315.93524022 -420.1055442 ]",627.969482308795
2364,"('yr', 'mnth', 'holiday', 'workingday', 'atemp', 'leaflets', 'weekday_0', 'weekday_1', 'weekday_4', 'weekday_5', 'season_1', 'season_2', 'season_4', 'weathersit_1', 'weathersit_3')","[1010.07319411    9.6659802  -121.33536726   -2.36217308  950.89844484
   12.51474627  -93.78128849  -54.07843906   19.743303     44.10150058
 -353.0630587    81.89557629  278.74460287  321.17043733 -312.95662141]",627.9695453411309
2365,"('yr', 'workingday', 'atemp', 'weekday_2', 'weekday_4', 'weekday_5', 'weekday_6', 'season_1', 'season_3', 'season_4', 'weathersit_1', 'weathersit_2')","[1007.72461995  155.76807792  956.04461872  -20.30340021   25.9985604
   52.35381615  128.13243764 -435.63655579  -77.69766561  204.91569652
 1218.65564131  881.7245624 ]",627.9701545492234
2366,"('yr', 'mnth', 'holiday', 'atemp', 'leaflets', 'weekday_0', 'weekday_1', 'weekday_4', 'weekday_5', 'weekday_6', 'season_1', 'season_3', 'season_4', 'weathersit_1', 'weathersit_3')","[1010.05232224    9.28785708 -120.46365976  951.1651023    12.4751528
  -91.89277152  -53.95138384   19.86671511   44.22895948    2.12094535
 -435.98966032  -79.56855995  199.65679008  321.13562203 -312.95205163]",627.9702283117904
2367,"('yr', 'mnth', 'workingday', 'atemp', 'leaflets', 'weekday_1', 'weekday_4', 'weekday_6', 'season_1', 'season_2', 'season_3', 'weathersit_1', 'weathersit_2')","[1009.12868082    7.94468296  176.99561751  947.11020728   17.31295907
  -91.39621461   -3.00956663  114.94914779 -645.3683918  -198.83481797
 -274.22817634 1236.8197719   900.41951391]",627.9708395890726
2368,"('yr', 'holiday', 'workingday', 'atemp', 'leaflets', 'weekday_0', 'weekday_1', 'weekday_5', 'weekday_6', 'season_2', 'season_3', 'season_4', 'weathersit_1', 'weathersit_2')","[1010.41657373  -99.79126231   53.32258776  955.64466506   13.0007989
  -57.95538412  -60.5589188    38.61322003   35.84419078  426.10512709
  337.55062258  621.34871525 1228.58374768  892.96565358]",627.9715286525588
2369,"('yr', 'mnth', 'holiday', 'atemp', 'weekday_0', 'weekday_1', 'weekday_3', 'weekday_4', 'season_1', 'season_4', 'weathersit_1', 'weathersit_2')","[1010.03397028  -27.43765251 -120.92216125  917.63389557  -98.93154167
  -59.06018176   19.81971339   15.58781452 -434.7640602   240.18856593
 1246.88813202  915.43145212]",627.9715525772934
2370,"('yr', 'mnth', 'holiday', 'workingday', 'atemp', 'leaflets', 'weekday_1', 'weekday_5', 'weekday_6', 'season_1', 'season_3', 'season_4', 'weathersit_1', 'weathersit_2')","[1010.69141341    8.85180231  -71.71355429  130.23408606  952.4795019
   13.41443503  -60.48616104   38.44791489   93.69243214 -435.73119335
  -80.61832782  199.13761422 1230.13813541  894.12696199]",627.9718066632189
2371,"('yr', 'mnth', 'holiday', 'workingday', 'atemp', 'leaflets', 'weekday_0', 'weekday_1', 'weekday_4', 'weekday_5', 'weekday_6', 'season_1', 'season_2', 'season_3', 'season_4', 'weathersit_1', 'weathersit_3')","[1010.07053949    9.66358682 -102.25318482   49.38776225  950.90659149
   12.50404657  -54.93699725  -54.01244351   19.80182366   44.15790604
   39.26238835 -351.49089234   83.43636821    1.51058763  280.24659661
  321.1717508  -312.95525925]",627.9741097065904
2372,"('yr', 'mnth', 'workingday', 'atemp', 'weekday_1', 'weekday_4', 'weekday_5', 'weekday_6', 'season_1', 'season_3', 'season_4', 'weathersit_1', 'weathersit_3')","[1006.81425185    2.78300798  166.3395034   951.44692697  -82.30268112
    7.24743975   33.64052879  117.99510688 -439.69617343  -78.41635403
  201.47559755  321.61273154 -314.07004065]",627.9747810355282
2373,"('yr', 'mnth', 'holiday', 'workingday', 'atemp', 'leaflets', 'weekday_0', 'weekday_1', 'weekday_4', 'weekday_5', 'weekday_6', 'season_1', 'season_2', 'season_4', 'weathersit_1', 'weathersit_3')","[1010.0699647     9.66719727 -102.25337313   49.38733221  950.92021114
   12.50383552  -54.9367307   -54.0122218    19.80175072   44.15852412
   39.26278539 -353.04260163   81.90475128  278.75487769  321.17222002
 -312.95454854]",627.9750137761271
2374,"('yr', 'mnth', 'workingday', 'atemp', 'windspeed', 'leaflets', 'price reduction', 'weekday_1', 'weekday_6', 'season_1', 'season_4', 'weathersit_1', 'weathersit_2', 'weathersit_3')","[1007.89123054  -58.95140167  180.21561999  867.46265632 -174.38118005
    4.10202661   59.78412711  -83.75168923  119.94373218 -463.39954902
  215.20070074  215.5245424  -105.86256894 -332.9239759 ]",627.9756557130795
2375,"('yr', 'mnth', 'holiday', 'atemp', 'weekday_0', 'weekday_4', 'weekday_5', 'weekday_6', 'season_1', 'season_2', 'season_3', 'weathersit_1', 'weathersit_2')","[1010.43759763   11.32770921 -132.91111135  953.80753527  -74.48172127
   38.36548814   62.54018452   19.47380969 -637.59299483 -202.06624384
 -278.17985733 1220.93878653  884.56989406]",627.9761907885767
2376,"('yr', 'mnth', 'workingday', 'atemp', 'windspeed', 'leaflets', 'price reduction', 'weekday_1', 'weekday_3', 'weekday_6', 'season_1', 'season_2', 'season_3', 'season_4', 'weathersit_1', 'weathersit_2')","[1007.58051914  -20.33285101  178.17415443  902.15254407 -178.1152444
    5.64936029   58.31267257  -84.61619796   -2.32693397  120.16886119
 -363.35516508  100.34792346   12.0830941   264.69945483 1174.66160149
  834.05076049]",627.9768875401919
2377,"('yr', 'mnth', 'holiday', 'workingday', 'atemp', 'leaflets', 'weekday_0', 'weekday_1', 'weekday_4', 'weekday_5', 'season_1', 'season_2', 'season_3', 'season_4', 'weathersit_1', 'weathersit_2', 'weathersit_3')","[1010.07441843    9.68193351 -121.33725607   -2.35983487  950.87874333
   12.5184448   -93.78849362  -54.07274209   19.74763668   44.10989828
 -351.48801774   83.44727934    1.50868717  280.23430448  217.19531676
 -102.54484703 -347.68791374]",627.9769983485811
2378,"('yr', 'mnth', 'holiday', 'workingday', 'atemp', 'leaflets', 'weekday_0', 'weekday_1', 'weekday_4', 'weekday_5', 'season_1', 'season_2', 'season_4', 'weathersit_1', 'weathersit_2', 'weathersit_3')","[1010.07384439    9.68553947 -121.33763687   -2.36078701  950.89234561
   12.51823413  -93.78861973  -54.07252131   19.74756325   44.11051504
 -353.03777496   81.91758931  278.74446218  217.19544638 -102.54518136
 -347.68731717]",627.977901252724
2379,"('yr', 'mnth', 'holiday', 'atemp', 'leaflets', 'weekday_0', 'weekday_1', 'weekday_4', 'weekday_5', 'weekday_6', 'season_1', 'season_3', 'season_4', 'weathersit_1', 'weathersit_2', 'weathersit_3')","[1010.05296556    9.30739724 -120.46644054  951.15914225   12.47863468
  -91.9011286   -53.94545724   19.87098176   44.23798575    2.11992353
 -435.9866749   -79.59012313  199.63529326  217.17661437 -102.52941767
 -347.6774028 ]",627.9785889890471
2380,"('yr', 'holiday', 'atemp', 'price reduction', 'weekday_0', 'weekday_1', 'weekday_3', 'weekday_4', 'season_1', 'season_4', 'weathersit_1', 'weathersit_2')","[1010.9711229  -119.37991256  910.72451619   51.20861465 -100.95057665
  -60.73076767   17.14092161   13.36497185 -431.46050505  221.97219817
 1253.93933938  919.83999909]",627.9786466533318
2381,"('yr', 'mnth', 'holiday', 'atemp', 'leaflets', 'price reduction', 'weekday_0', 'weekday_4', 'weekday_5', 'weekday_6', 'season_1', 'season_4', 'weathersit_1', 'weathersit_3')","[1011.74219129  -25.33829536 -130.7607168   919.85274349    5.50948918
   51.78783085  -77.42367467   37.72923695   61.88684211   18.76104993
 -432.02651835  243.10009293  319.68309301 -314.273522  ]",627.9790262937304
