,features,coefs,mae
16,"('yr', 'mnth', 'workingday', 'atemp', 'weekday_0', 'weekday_1', 'weekday_4', 'weekday_5', 'weekday_6', 'season_1', 'season_4', 'weathersit_1', 'weathersit_2')","[1010.34445633  -29.9921721   319.88069878  920.75097931  146.98287474
  -53.79384669   21.72723062   44.72064967  241.52799448 -432.62400407
  244.13614077 1231.94267866  899.63611995]",622.6674692990833
17,"('yr', 'workingday', 'atemp', 'leaflets', 'price reduction', 'weekday_1', 'weekday_4', 'weekday_5', 'weekday_6', 'season_1', 'season_4', 'weathersit_1', 'weathersit_2')","[1010.30158895  166.74330884  910.92164412   10.57308777   55.06499137
  -80.9273295     8.34785907   34.57136978  118.09721207 -434.03408151
  221.80386706 1241.58315137  905.6874474 ]",622.6738223433483
18,"('yr', 'mnth', 'holiday', 'atemp', 'weekday_0', 'weekday_1', 'weekday_4', 'weekday_5', 'season_1', 'season_4', 'weathersit_1', 'weathersit_2')","[1010.42340044  -29.7249918  -121.01127551  920.6639049   -92.79022769
  -52.90646785   21.85185017   44.77634505 -432.47070119  244.0632897
 1232.14402607  899.79027464]",622.7156849083304
19,"('yr', 'mnth', 'workingday', 'atemp', 'weekday_1', 'weekday_4', 'weekday_5', 'weekday_6', 'season_1', 'season_4', 'weathersit_1', 'weathersit_2')","[1008.27933339  -34.92705259  167.05531271  920.31696367  -81.22255946
    9.17370134   33.78435313  116.72719429 -437.4558511   244.82203937
 1234.36629055  901.41141233]",622.7285150502597
20,"('yr', 'mnth', 'holiday', 'workingday', 'atemp', 'weekday_0', 'weekday_1', 'weekday_4', 'weekday_5', 'season_1', 'season_4', 'weathersit_1', 'weathersit_2')","[ 1.01042115e+03 -2.97382525e+01 -1.21253207e+02 -6.90210025e-01
  9.20712920e+02 -9.31317344e+01 -5.27357479e+01  2.20284936e+01
  4.49492119e+01 -4.32442776e+02  2.44081380e+02  1.23208382e+03
  8.99740217e+02]",622.7428731553296
21,"('yr', 'mnth', 'holiday', 'workingday', 'atemp', 'weekday_0', 'weekday_1', 'weekday_4', 'weekday_5', 'weekday_6', 'season_1', 'season_4', 'weathersit_1', 'weathersit_2')","[1010.4190174   -29.74052168 -102.52604758   50.09571376  920.72967425
  -55.01077818  -52.67107357   22.08559782   45.00438167   38.53090249
 -432.43280472  244.0871927  1232.07903266  899.73411533]",622.744155367933
22,"('yr', 'mnth', 'holiday', 'atemp', 'weekday_0', 'weekday_1', 'weekday_4', 'weekday_5', 'weekday_6', 'season_1', 'season_4', 'weathersit_1', 'weathersit_2')","[ 1.01041968e+03 -2.97466431e+01 -1.20990781e+02  9.20744119e+02
 -9.25025874e+01 -5.26269402e+01  2.21408595e+01  4.50591597e+01
  8.53016567e-01 -4.32424992e+02  2.44092887e+02  1.23204585e+03
  8.99708598e+02]",622.7600018571396
23,"('yr', 'holiday', 'workingday', 'atemp', 'leaflets', 'weekday_0', 'weekday_1', 'weekday_4', 'weekday_5', 'season_1', 'season_4', 'weathersit_1', 'weathersit_2')","[ 1.01199372e+03 -1.21370146e+02  6.74702649e-01  9.12541575e+02
  1.26457484e+01 -9.24101019e+01 -5.29139376e+01  2.15020516e+01
  4.35303166e+01 -4.28746958e+02  2.24815341e+02  1.23525329e+03
  9.01778097e+02]",622.7627191551971
24,"('yr', 'holiday', 'workingday', 'atemp', 'leaflets', 'weekday_0', 'weekday_1', 'weekday_4', 'weekday_5', 'weekday_6', 'season_1', 'season_4', 'weathersit_1', 'weathersit_2')","[1011.99073781 -102.94608208   50.64035181  912.55837532   12.6351779
  -54.90475856  -52.84994514   21.55856963   43.58518388   37.90906166
 -428.73551601  224.81957356 1235.2501431   901.77358405]",622.7632036945569
25,"('yr', 'holiday', 'atemp', 'leaflets', 'weekday_0', 'weekday_1', 'weekday_4', 'weekday_5', 'weekday_6', 'season_1', 'season_4', 'weathersit_1', 'weathersit_2')","[ 1.01199130e+03 -1.21611942e+02  9.12571681e+02  1.26328018e+01
 -9.28041855e+01 -5.28052057e+01  2.16144857e+01  4.36405642e+01
 -1.78422312e-01 -4.28726261e+02  2.24821304e+02  1.23521784e+03
  9.01748795e+02]",622.7774797803925
